"DATE","YEARMODA","Year","Month","Day","Tmin","Tmax","Tmean","Prec","Tmin_source","Tmax_source","no_Tmin","no_Tmax"
1999-06-03 12:00:00,19990603,1999,6,3,3.72222222222222,11,6.44444444444444,0,NA,NA,FALSE,FALSE
1999-06-04 12:00:00,19990604,1999,6,4,7.61111111111111,9.77777777777778,8.33333333333333,0,NA,NA,FALSE,FALSE
1999-06-05 12:00:00,19990605,1999,6,5,6.27777777777778,9.72222222222222,7.55555555555556,0,NA,NA,FALSE,FALSE
1999-06-06 12:00:00,19990606,1999,6,6,3,12,6.88888888888889,0,NA,NA,FALSE,FALSE
1999-06-07 12:00:00,19990607,1999,6,7,5.27777777777778,11.7222222222222,8.33333333333333,0,NA,NA,FALSE,FALSE
1999-06-08 12:00:00,19990608,1999,6,8,4.77777777777778,16.3888888888889,10.4444444444444,0,NA,NA,FALSE,FALSE
1999-06-09 12:00:00,19990609,1999,6,9,7.27777777777778,9.77777777777778,7.94444444444444,0,NA,NA,FALSE,FALSE
1999-06-10 12:00:00,19990610,1999,6,10,4.27777777777778,12.2777777777778,8.66666666666667,0,NA,NA,FALSE,FALSE
1999-06-11 12:00:00,19990611,1999,6,11,6.5,15.7777777777778,11.9444444444444,0,NA,NA,FALSE,FALSE
1999-06-12 12:00:00,19990612,1999,6,12,10.7777777777778,18.7222222222222,13.8333333333333,0,NA,NA,FALSE,FALSE
1999-06-13 12:00:00,19990613,1999,6,13,9.72222222222222,13.6111111111111,11.7222222222222,0,NA,NA,FALSE,FALSE
1999-06-14 12:00:00,19990614,1999,6,14,9,17.8888888888889,13.3888888888889,0,NA,NA,FALSE,FALSE
1999-06-15 12:00:00,19990615,1999,6,15,9,18.3888888888889,12.8888888888889,0,NA,NA,FALSE,FALSE
1999-06-16 12:00:00,19990616,1999,6,16,6.88888888888889,16.7777777777778,11.7222222222222,0,NA,NA,FALSE,FALSE
1999-06-17 12:00:00,19990617,1999,6,17,4,16.2222222222222,8.83333333333333,0,NA,NA,FALSE,FALSE
